FABRICANTE,DATA,CODIGO,PRODUTO,QTD,OBS
DAIKIN,11/06/26,5162,Evap. FTHC24T5VL Full Inverter R-32  24 Quente - Daikin,40,
DAIKIN,11/06/26,5160,Evap. FTKC24T5VL Full Inverter R-32  24 Frio - Daikin,40,
DAIKIN,11/06/26,5163,Cond. RHC24T5VL Full Inverter R-32  24 Quente - Daikin,40,
DAIKIN,11/06/26,5161,Cond. RKC24T5VL Full Inverter R-32  24 Frio - Daikin,40,
DAIKIN,11/06/26,5148,Evap. FTKC09T5VL Full Inverter R-32  09 Frio - Daikin,60,
DAIKIN,11/06/26,5152,Evap. FTKC12T5VL Full Inverter R-32  12 Frio - Daikin,80,
DAIKIN,11/06/26,5149,Cond. RKC09T5VL Full Inverter R-32  09 Frio - Daikin,60,
DAIKIN,11/06/26,5153,Cond. RKC12T5VL Full Inverter R-32  12 Frio - Daikin,80,
TCL,24/06/26,110103,Ar Cond. TAC-55CSGS/CF-INV TCL Piso Teto  55 Frio,66,
TCL,24/06/26,110103,Ar Cond. TAC-55CSGS/CF-INV TCL Piso Teto  55 Frio,66,
TCL,24/06/26,110103,Ar Cond. TAC-55CSGS/CF-INV TCL Piso Teto  55 Frio,66,
TCL,24/06/26,110103,Ar Cond. TAC-55CSGS/CF-INV TCL Piso Teto  55 Frio,66,
TCL,24/06/26,110103,Ar Cond. TAC-55CSGS/CF-INV TCL Piso Teto  55 Frio,66,
TCL,25/06/26,110002,Ar Cond. TAC-12CTG2-INV TCL T-PRO 2.0  12 Frio,150,
TCL,25/06/26,110092,Ar Cond. TAC-12CFG3B-INV TCL Fresh-in Black  3.0  12 Frio,10,
TCL,25/06/26,110030,Evap TAC-12CHTG3-INV-I  BreezeIN AI Q/F - TCL,150,
TCL,25/06/26,110031,Cond TAC-12CHTG3-INV-O  BreezeIN AI Q/F - TCL,150,
TCL,25/06/26,110091,Ar Cond. TAC-12CFG3W-INV TCL Fresh-in  3.0  12 Frio,20,
TCL,25/06/26,110051,Ar Cond. TAC-34CHSG2-INV TCL Serie G2  34 Quente,8,
TCL,25/06/26,110051,Ar Cond. TAC-34CHSG2-INV TCL Serie G2  34 Quente,3,
TCL,25/06/26,110093,Ar Cond. TAC-18CFG3W-INV TCL Fresh-in  3.0  18 Frio,10,
TCL,25/06/26,110001,Ar Cond. TAC-09CHTG2-INV TCL T-PRO 2.0  09 Quente,15,
TCL,25/06/26,110000,Ar Cond. TAC-09CTG2-INV TCL T-PRO 2.0  09 Frio,250,
TCL,25/06/26,110001,Ar Cond. TAC-09CHTG2-INV TCL T-PRO 2.0  09 Quente,13,
TCL,25/06/26,110006,Ar Cond. TAC-24CTG2-INV TCL T-PRO 2.0  24 Frio,50,
TCL,25/06/26,110050,Ar Cond. TAC-32CSG2-INV TCL Serie G2  32 Frio,30,
TCL,25/06/26,110051,Ar Cond. TAC-34CHSG2-INV TCL Serie G2  34 Quente,29,
TCL,25/06/26,110001,Ar Cond. TAC-09CHTG2-INV TCL T-PRO 2.0  09 Quente,122,
TCL,25/06/26,110008,Ar Cond. TAC-18CTG2X-INV TCL T-PRO 2.0  18 Frio,100,
TCL,25/06/26,110103,Ar Cond. TAC-55CSGS/CF-INV TCL Piso Teto  55 Frio,31,
TCL,26/06/26,110205,Ar Cond. TAC-36CSGS/CT-INV TCL Cassete  36 Frio,15,
TCL,26/06/26,110103,Ar Cond. TAC-55CSGS/CF-INV TCL Piso Teto  55 Frio,3,
